"","STNAME","CTYNAME","YEAR","state_po","totalvotes","county_fips","DEMOCRAT","OTHER","REPUBLICAN","winner","percent_rep","age","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","TOM_MALE","TOM_FEMALE","NH_MALE","NH_FEMALE","H_MALE","H_FEMALE","MINORITY_MALE","MINORITY_FEMALE"
"1","ARIZONA","MARICOPA",2016,"AZ",1567834,4013,702907,117566,747361,"R",0.515326132825105,"ages 15-34",1196414,610812,585602,491450,469607,44457,41183,21012,21572,30523,29931,21084,21256,382277,366389,228535,219213,119362,115995
"2","ARIZONA","MARICOPA",2016,"AZ",1567834,4013,702907,117566,747361,"R",0.515326132825105,"ages 35-64",1579318,775391,803927,663003,681195,45184,45596,17587,19769,35301,41617,12200,13692,571751,595404,203640,208523,112388,122732
"3","ARIZONA","MARICOPA",2016,"AZ",1567834,4013,702907,117566,747361,"R",0.515326132825105,"ages 65+",615206,277269,337937,257081,310497,8490,10999,2316,3243,7207,10471,1868,2382,247740,300802,29529,37135,20188,27440
"4","ARIZONA","MARICOPA",2016,"AZ",1567834,4013,702907,117566,747361,"R",0.515326132825105,"total",4258019,2105955,2152064,1759283,1794413,130114,128168,57863,60997,91221,100027,61351,62695,1450238,1500602,655717,651462,346672,357651
"5","ARIZONA","MARICOPA",2020,"AZ",2068144,4013,1040774,31705,995665,"D",0.488924539355218,"ages 15-34",1280884,653727,627157,519470,496825,50857,47129,22447,22970,32328,32016,26230,26046,401820,383280,251907,243877,134257,130332
"6","ARIZONA","MARICOPA",2020,"AZ",2068144,4013,1040774,31705,995665,"D",0.488924539355218,"ages 35-64",1694308,834687,859621,702174,715226,52675,53897,20007,22599,42461,48569,14798,16840,600824,621224,233863,238397,132513,144395
"7","ARIZONA","MARICOPA",2020,"AZ",2068144,4013,1040774,31705,995665,"D",0.488924539355218,"ages 65+",729812,328936,400876,301521,363862,11511,14563,3147,4328,9734,14467,2586,3172,290231,352111,38705,48765,27415,37014
"8","ARIZONA","MARICOPA",2020,"AZ",2068144,4013,1040774,31705,995665,"D",0.488924539355218,"total",4579081,2263436,2315645,1865814,1903568,150288,149713,63887,67338,104110,114300,72418,74098,1540921,1594982,722515,720663,397622,412077
"9","CALIFORNIA","BUTTE",2016,"CA",95564,6007,41567,8853,45144,"R",0.520625987475637,"ages 15-34",70005,35971,34034,29762,28022,892,663,890,925,2457,2272,1833,2038,28818,27132,7153,6902,6209,6012
"10","CALIFORNIA","BUTTE",2016,"CA",95564,6007,41567,8853,45144,"R",0.520625987475637,"ages 35-64",78254,38497,39757,34331,35416,766,512,890,987,1404,1592,1018,1156,33087,34725,5410,5032,4166,4341
"11","CALIFORNIA","BUTTE",2016,"CA",95564,6007,41567,8853,45144,"R",0.520625987475637,"ages 65+",40287,18034,22253,16908,20903,183,192,285,305,366,487,257,332,16883,21000,1151,1253,1126,1350
